country_code,unique_code,type,category,item_service,details_notes,source_files,display_order
REQUIRED - Country code from 01_countries,REQUIRED - Unique identifier code (e.g. CHE-INC-001),REQUIRED - INCLUSION or EXCLUSION,REQUIRED - Category name (will be created if not exists),REQUIRED - Item or service name,OPTIONAL - Extra details or notes,OPTIONAL - Source reference file,OPTIONAL - Sort order (default 0)
CHE,CHE-INC-001,INCLUSION,Accommodation,5-Star Hotel Accommodation,Luxury 5-star hotel throughout (twin/double sharing basis). All rooms are ensuite with breakfast included.,hotels_04.csv,1
ITA,ITA-INC-008,INCLUSION,Sightseeing,Vatican Museums & Sistine Chapel,Skip-the-line entry to Vatican Museums and Sistine Chapel.,,,2
ITA,ITA-INC-009,INCLUSION,Sightseeing,Florence Duomo (Exterior Guided Walk),Guided walking tour of Florence including Duomo exterior and Ponte Vecchio.,,,3
ITA,ITA-INC-010,INCLUSION,Sightseeing,Venice Walking Tour & Gondola Ride,1-hour gondola ride on Venice canals plus walking tour of San Marco.,,,4
ITA,ITA-INC-011,INCLUSION,Guide & Assistance,English-Speaking Tour Manager,Professional English-speaking tour manager throughout.,,,1
ITA,ITA-EXC-001,EXCLUSION,Flights,International Airfare,International flights not included.,,,1
ITA,ITA-EXC-002,EXCLUSION,Meals,Lunches & Dinners,All lunches and dinners on personal account.,,,2
ITA,ITA-EXC-003,EXCLUSION,Insurance,Travel & Medical Insurance,Travel and health insurance not included.,,,3
ITA,ITA-EXC-004,EXCLUSION,Personal Expenses,Personal Expenses,Shopping and personal gratuities not included.,,,4
ITA,ITA-EXC-005,EXCLUSION,Visa & Fees,Italy Schengen Visa,Schengen visa and processing fees not included.,,,5
ITA,ITA-EXC-006,EXCLUSION,Sightseeing,Uffizi Gallery Florence,Uffizi Gallery entry tickets not included — optional add-on.,,,6
ISL,ISL-INC-001,INCLUSION,Accommodation,4-Star Hotel Accommodation,Comfortable 4-star hotel throughout on twin-sharing basis with daily breakfast.,,,1
ISL,ISL-INC-002,INCLUSION,Accommodation,Hotel Taxes & Service Charges,All hotel-related taxes included.,,,2
ISL,ISL-INC-003,INCLUSION,Meals,Daily Breakfast,Daily hotel breakfast included.,,,1
ISL,ISL-INC-004,INCLUSION,Transport,Airport Transfers,Return private transfers from Keflavík International Airport.,,,1
ISL,ISL-INC-005,INCLUSION,Transport,All Surface Transfers,All inter-city transfers by private coach/4WD throughout Iceland.,,,2
ISL,ISL-INC-006,INCLUSION,Sightseeing,Golden Circle Tour,Full-day Golden Circle tour: Þingvellir National Park + Geysir + Gullfoss.,,,1
ISL,ISL-INC-007,INCLUSION,Sightseeing,Blue Lagoon Entry (Comfort Package),Entry to Blue Lagoon geothermal spa — Comfort package with silica mud mask.,,,2
ISL,ISL-INC-008,INCLUSION,Sightseeing,South Coast Tour,South Coast tour: Skógafoss + Seljalandsfoss + Reynisfjara black sand beach + Jökulsárlón glacier lagoon.,,,3
ISL,ISL-INC-009,INCLUSION,Sightseeing,Whale Watching Tour,3-hour whale watching boat tour from Reykjavík harbour. Subject to weather.,,,4
ISL,ISL-INC-010,INCLUSION,Sightseeing,Northern Lights Hunt (Oct–Mar),Northern lights guided minibus tour with guarantee of a second tour if no lights seen.,,,5
ISL,ISL-INC-011,INCLUSION,Guide & Assistance,English-Speaking Tour Manager,Professional tour manager throughout the Iceland trip.,,,1
ISL,ISL-INC-012,INCLUSION,Guide & Assistance,24x7 Emergency Support,24-hour helpline for emergencies during tour.,,,2
ISL,ISL-EXC-001,EXCLUSION,Flights,International Airfare,International airfare not included.,,,1
ISL,ISL-EXC-002,EXCLUSION,Meals,Lunches & Dinners,All lunches and dinners are on personal account (food costs in Iceland can be high).,,,2
ISL,ISL-EXC-003,EXCLUSION,Insurance,Travel & Medical Insurance,Travel and emergency medical insurance not included.,,,3
ISL,ISL-EXC-004,EXCLUSION,Personal Expenses,Personal Expenses & Tips,All personal expenses including tips and gratuities.,,,4
ISL,ISL-EXC-005,EXCLUSION,Visa & Fees,Iceland Schengen Visa,Schengen visa fees not included.,,,5
ISL,ISL-EXC-006,EXCLUSION,Sightseeing,Northern Lights (Apr–Sep),Northern lights tours not available during summer months (midnight sun season).,,,6
ISL,ISL-EXC-007,EXCLUSION,Optional Activities,Glacier Hiking & Ice Cave Tours,Optional glacier hiking at Sólheimajökull and ice cave tours at Vatnajökull not included.,,,7
ISL,ISL-EXC-008,EXCLUSION,Optional Activities,Horse Riding,Optional Icelandic horse riding experience not included.,,,8
